type,id,name,gender,person,description
relation,3066477,"Place Van Meyel - Van Meyelplein",+,"Époux Van Meyel-Cool","Couple dont les dons permirent notamment la construction d'un orphelinat et d'une crèche"
relation,11087247,"Rue Buchholtz - Buchholtzstraat",+,"Famille Buchholtz","Propriétaires de terrains dans cette rue"
relation,3020491,"Drève Soetkin - Soetkindreef",-,Soetkin,"Mère de Tijl Uylenspiegel"
relation,3015625,"Rue Vandenhoven - Vandenhovenstraat",-,"Famille Vandenhoven","Principale famille de Roodebeek, qui donnèrent plusieurs mandataires politiques à la commune de Woluwe-Saint-Lambert"
relation,3294557,"Rue Bouvier - Bouvierstraat",?,,
relation,2967941,"Rue Brunard - Brunardstraat",?,,
relation,3257052,"Rue Coenraets - Coenraetsstraat",?,,"Propriétaire de terrains situés à cet endroit"
relation,3253232,"Rue de Bruyn - de Bruynstraat",?,,
relation,3438961,"Rue de Ciplet - de Cipletstraat",?,,
relation,3325445,"Rue De Koninck - De Koninckstraat",?,,"Ancien(ne) propriétaire terrien"
relation,2981441,"Rue Decrée - Decréestraat",?,,
relation,3434325,"Rue Laneau - Laneaustraat",?,,
relation,3449144,"Rue Medaets - Medaetsstraat",?,,
relation,3237633,"Rue Pangaert - Pangaertstraat",?,,
relation,3536351,"Rue Raphaël - Raphaëlstraat",?,,
relation,3433808,"Rue Steyls - Steylsstraat",?,,
relation,3375381,"Rue Stroobants - Stroobantsstraat",?,,
relation,3246475,"Rue Van Bergen - Van Bergenstraat",?,,
relation,3306592,"Rue Van Hoegaerde - Van Hoegaerdestraat",?,,
relation,3434772,"Rue Verhoeven - Verhoevenstraat",?,,
relation,3256835,"Avenue Hélène - Helenalaan",F,,
relation,3228251,"Avenue Jeanne - Johannalaan",F,,
relation,3505178,"Avenue Paule - Paulalaan",F,,"Fille de Jules Du Jardin (peintre), propriétaire des terrains du quartier Saint-Paul"
relation,11048375,"Avenue Victoria - Victorialaan",F,,
relation,3049100,"Rue de Beughem - de Beughemstraat",F,,"Mère du comte Cornet de Grez, une descendante de Louis van Bodeghem"
relation,11048377,"Rue Marianne - Mariannestraat",F,,"(Probablement) Petite-fille du bourgmestre Léon Vanderkindere"
relation,3235100,"Rue Mercelis - Mercelisstraat",F,,"(Probablement) Veuve Mercelis, propriétaire des terrains sur lesquels la rue fut ouverte"
relation,6005861,"Rue Mercelis - Mercelisstraat",F,,"(Probablement) Veuve Mercelis, propriétaire des terrains sur lesquels la rue fut ouverte"
relation,3258838,"Avenue Général de Longueville - Generaal de Longuevillelaan",M,,
relation,2984376,"Avenue Georges Henri - Georges Henrilaan",M,,"(Probablement) Association des prénoms de deux propriétaires fonciers locaux"
relation,3110486,"Avenue Hansen-Soulie - Hansen-Soulielaan",M,,"Ancien conseiller communal et résistant blessé par la Gestapo dans cette rue et décédé au camp de Buchenwald en 1944"
relation,3495502,"Avenue Père Hilaire - Pater Hilariuslaan",M,,"Père Franciscain du Chant d'Oiseau, résistant, mort des suites de son emprisonnement"
relation,3500230,"Avenue Saint-Jean - Sint-Janslaan",M,,
relation,3049117,"Petite rue L'Olivier - Korte L'Olivierstraat",M,"Jean L'Olivier","Militaire belge (1792-1854)"
relation,11086524,"Rue Berckmans - Berckmansstraat",M,"Gaspard Berckmans","Ancien propriétaire du terrain"
relation,11087006,"Rue Bosquet - Bosquetstraat",M,,"Ancien échevin de Saint-Gilles (de 1836 à 1843)"
relation,3288989,"Rue de Fierlant - de Fierlantstraat",M,"Baron de Fierlant","Grand propriétaire foncier du quartier du Pont-de-Luttre"
relation,3252684,"Rue de Liedekerke - de Liedekerkestraat",M,"Comte de Liedekerke","Ancien propriétaire"
relation,3297585,"Rue de Ribaucourt - de Ribaucourtstraat",M,"Comte de Ribaucourt","Propriétaire de terrains dans le voisinage"
relation,3312912,"Rue Doyen Adriaens - Deken Adriaensstraat",M,,
relation,3311841,"Rue Doyen Fierens - Deken Fierensstraat",M,,
relation,3138882,"Rue Félix De Cuyper - Félix De Cuyperstraat",M,"Félix De Cuyper","Receveur communal d'Anderlecht (1857-1908)"
relation,3198269,"Rue François Gérard - François Gérardstraat",M,"François Gérard","Médecin-vétérinaire, professeur à l'École de médecine vétérinaire de Cureghem (1812-1893)"
relation,3474783,"Rue François Janssens - François Janssensstraat",M,"François Janssens","Lithographe, conseiller communal (1857-1904)"
relation,3367670,"Rue Général Michel - Generaal Michelstraat",M,,
relation,3489867,"Rue Général Ruquoy - Generaal Ruquoystraat",M,"Louis Hubert Ruquoy","Lieutenant-général, chef d'état-major général de l'armée belge pendant la Première Guerre mondiale (1861-1937)"
relation,2974969,"Rue Gillebertus - Gillebertusstraat",M,,"Ancien conseiller communal de Jette"
relation,3291549,"Rue Haeck - Haeckstraat",M,,"Habitant de Jette propriétaire d'une grande ferme dans les environs"
relation,3329877,"Rue Henri De Saegher - Henri De Saegherstraat",M,,
relation,2969411,"Rue Henri Huybreghts - Henri Huybreghtsstraat",M,,
relation,3239287,"Rue Henri Meuwis - Henri Meuwisstraat",M,"Henri Meuwis",
relation,3325482,"Rue Henri Nogent - Henri Nogentstraat",M,"Henri Nogent","Ébéniste, collaborateur de Victor Horta à quelques reprises, puis Directeur des Travaux à Anderlecht (1876-1965)"
relation,2974993,"Rue Henri Van Bortonne - Henri Van Bortonnestraat",M,"Henri Van Bortonne",
relation,3375860,"Rue Henri Van Hamme - Hendrik Van Hammestraat",M,"Henri Van Hamme",
relation,3376042,"Rue Henri Van Nerom - Hendrik Van Neromstraat",M,"Henri Van Nerom",
relation,3145882,"Rue Henri Van Zuylen - Henri Van Zuylenstraat",M,"Henri van Zuylen","Commandant en second du navire-école Comte de Smet de Naeyer, qui habita Uccle (1878-1906)"
relation,4807084,"Rue Henri Vandermaelen - Henri Vandermaelenstraat",M,"Henri Vandermaelen",
relation,4784877,"Rue Henrotte - Henrottestraat",M,"Pierre Louis Henrotte","Curé de Notre-Dame de Stockel de 1906 à son décès le 25 octobre 1928"
relation,2962567,"Rue Honoré Longtin - Honoré Longtinstraat",M,"Honoré Longtin",
relation,3263377,"Rue Hubert Blauwet - Hubert Blauwetstraat",M,"Hubert Blauwet","Sergent auprès du 22ème régiment de ligne"," mort pour la Patrie (1887-1914)"
relation,3256838,"Rue Hubert Heymans - Hubert Heymansstraat",M,"Hubert Heymans",
relation,3375876,"Rue Hubert Van Hoorde - Hubert Van Hoordestraat",M,"Hubert Van Hoorde",
relation,3372752,"Rue Jacques Ballings - Jaak Ballingsstraat",M,"Jacques Ballings",
relation,3077398,"Rue Jacques Boon - Jacques Boonstraat",M,"Jacques Boon","Capitaine-commandant de la Compagnie spéciale des sapeurs-pompeurs volontaires d'Anderlecht, mort accidellement (1858-1917)"
relation,3009698,"Rue Jacques Hoton - Jacques Hotonstraat",M,"Jacques Hoton","Résistant (1924-1941)"
relation,3138897,"Rue Jacques Houtmeyers - Jaak Houtmeyersstraat",M,"Jacques Houtmeyers",
relation,3059508,"Rue Jacques Rayé - Jacques Rayéstraat",M,"Jacques Rayé","Géomètre-expert qui fit don à la Commune d'une partie de sa fortune et de terrains destinés à l'ouverture d'une rue (1850-1910)"
relation,3303613,"Rue Jennart - Jennartstraat",M,,"Ancien conseiller communal"
relation,3066461,"Rue Jonniaux - Jonniauxstraat",M,,"Ancien conseiller communal et échevin etterbeekois"
relation,3536355,"Rue Jorez - Jorezstraat",M,,"Major-commandant du bataillon de la garde civique d'Anderlecht et patron d'une manufacture de toiles cirées sur la Senne"
relation,3049116,"Rue L'Olivier - L'Olivierstraat",M,"Jean L'Olivier","Militaire belge (1792-1854)"
relation,3496013,"Rue Lacaille - Lacaillestraat",M,,
relation,3379630,"Rue Laurent Vandenhoven - Laurent Vandenhovenstraat",M,"Laurent Vandenhoven",
relation,3294529,"Rue Le Lorrain - Le Lorrainstraat",M,"Damien Le Lorrain",
relation,3306655,"Rue Piers - Piersstraat",M,,"Ancien échevin de Molenbeek"
relation,3241221,"Rue Sergent Sorensen - Sergeant Sorensenstraat",M,,
relation,3315810,"Rue Tazieaux - Tazieauxstraat",M,,"Ancien propriétaire"
relation,3302989,"Rue Ulens - Ulensstraat",M,,"Ancien intendant militaire molenbeekois"
relation,3325363,"Rue Van Kalck - Van Kalckstraat",M,,"Ancien propriétaire terrien"
relation,3329272,"Rue Van Malder - Van Malderstraat",M,,"Ancien conseiller communal molenbeekois"
relation,3303536,"Rue Van Meyel - Van Meyelstraat",M,,"(Probablement) Peintre"
relation,3323306,"Rue Van Wambeke - Van Wambekestraat",M,,"Propriétaire terrien (1842-1928)"
relation,3430804,"Rue Van Wambeke - Van Wambekestraat",M,,"Propriétaire terrien (1842-1928)"
relation,3294464,"Rue Vandenboogaerde - Vandenboogaerdestraat",M,"Desiderius Vandenboogaerde","Notaire à Poperinge, propriétaire de terrains à Molenbeek"
relation,3176748,"Rue Vandenbroeck - Vandenbroeckstraat",M,"Pierre Vandenbroeck","Maître d'école (1790-1857)"
relation,3329898,"Rue Vanderdussen - Vanderdussenstraat",M,"F. Van der Dussen","Probablement un des propriétaires des Etangs noirs, baron de Kestergat, bourgmestre de Molenbeek sous le régime hollandais"
relation,3252662,"Rue Vanderhoeven - Vanderhoevenstraat",M,"Filips Vanderhoeven","Doyen des Jardiniers, connu pour la résistance qu'il opposa à Farnèse à la fin du 17ème siècle, et qui résidait dans la commune"
relation,3049939,"Rue Vandermeersch - Vandermeerschstraat",M,"Charles et Pierre Vandermeersch","Propriétaires des terrains sur lesquels la rue fut tracée"
relation,3587290,"Rue Vanderschrick - Vanderschrickstraat",M,"Famille Vanderschrick","Célèbre famille saint-gilloise de propriétaires terriens et d'hommes politiques, dont trois bourgmestres : Egide (1825-1840), son fils Jean (1840-1860) et son petit-fils Fernand (1896-1899)"
relation,3329873,"Rue Vanderstraeten - Vanderstraetenstraat",M,"Charles Vanderstraeten","Inspecteur voyer des faubourgs de Bruxelles (1834-1904)"
relation,3178229,"Rue Vautier - Vautierstraat",M,,"Inspecteur des athénées et collèges de Belgique, qui participa activement à la Révolution belge (1792-1846)"
relation,3491661,"Rue Vautier - Vautierstraat",M,,"Inspecteur des athénées et collèges de Belgique, qui participa activement à la Révolution belge (1792-1846)"
relation,3028884,"Rue Verboeckhaven - Verboeckhavenstraat",M,"Michel Verboekhaven","Propriétaire des terrains sur lesquels la rue fut ouverte en 1871 (1816-1883)"
relation,3325825,"Rue Verheyden - Verheydenstraat",M,,"Propriétaire terrien"
relation,3011064,"Rue Vervloesem - Vervloesemstraat",M,"Jean-François Vervloesem","Instituteur communal pendant près de 50 ans (1850-1917)"
relation,3241581,"Rue Victor Lowet - Victor Lowetstraat",M,"Victor Lowet","Soldat au 8ème régiment de Ligne, mort pendant la Première Guerre mondiale (1881-1915)"
relation,3004965,"Rue Wayez - Wayezstraat",M,,"Administrateur de la Compagnie Immobilière d'Anderlecht, promoteur de la voie"
relation3022870,"Rue Sneessens - Sneessensstraat",?,"E. Sneessens","Membre du bureau de Bienfaisance"
way,132433013,"Impasse Ronsmans - Ronsmansgang",?,,
way,132433014,"Impasse Ronsmans - Ronsmansgang",?,,
way,132433015,"Impasse Ronsmans - Ronsmansgang",?,,
way,4730958,"Rue Capouillet - Capouilletstraat",?,,"Ancien(ne) propriétaire du terrain que la rue traverse"
way,23647092,"Rue Capouillet - Capouilletstraat",?,,"Ancien(ne) propriétaire du terrain que la rue traverse"
way,13768131,"Rue Crickx - Crickxstraat",?,,"Propriétaire des terrains sur lesquels cette rue fut tracée"
way,118566333,"Rue Van Gaver - Van Gaverstraat",?,,"Anciens propriétaires"
way,432775004,"Rue Van Gaver - Van Gaverstraat",?,,"Anciens propriétaires"
way,151162994,"Rue Vanden Corput - Vanden Corputstraat",?,,"Propriétaire des terrains à travers cette rue fut tracée à partir de 1905 environ"
way,23647145,"Avenue Juliette - Juliettelaan",F,,
way,915916792,"Clos Marie Koré - Maire Koréhoek",F,"Marie Koré","Figure de la lutte pour l'indépendance en Côte d'Ivoire"
way,915916793,"Clos Marie Koré - Maire Koréhoek",F,"Marie Koré","Figure de la lutte pour l'indépendance en Côte d'Ivoire"
way,14795061,"Avenue des Frères Goemaere - Gebroeders Goemaerelaan",M,,
way,458810331,"Avenue des Frères Goemaere - Gebroeders Goemaerelaan",M,,
way,8250579,"Avenue des Frères Legrain - Gebroeders Legrainlaan",M,,
way,35830442,"Avenue des Frères Legrain - Gebroeders Legrainlaan",M,,
way,863287984,"Avenue des Frères Legrain - Gebroeders Legrainlaan",M,,
