name,source,gender,wikidata,type
"Allée Sarah et Jacques Goldberg - Sarah en Jacques Goldbergdreef",wikidata,+,Q3473353;Q93877330,way
"Avenue Albert-Elisabeth - Albert-Elisabethlaan",wikidata,+,Q55008046;Q235186,relation
"Avenue Houba-de Strooper - Houba-de Strooperlaan",wikidata,+,Q92542850;Q92542853,relation
"Avenue Pierre et Marie Curie - Pierre en Marie Curielaan",wikidata,+,Q37463;Q7186,relation
"Avenue Tedesco - Tedescolaan",wikidata,+,Q91870858;Q91870861;Q91871003,way
"Rue Albert et Marie-Louise Servais-Kinet - Albert en Marie-Louise Servais-Kinetstraat",wikidata,+,Q89366028;Q89366128,relation
"Allée Clara Clairbert - Clara Clairbertdreef",wikidata,F,Q5125964,relation
"Allée Estelle Juste - Estelle Justedreef",wikidata,F,Q38031104,way
"Allée Irène Vanderlinden - Irène Vanderlindendreef",wikidata,F,Q86199370,way
"Allée Laura Turner - Laura Turnerdreef",wikidata,F,Q51230345,way
"Allée Louisa Haerens - Louisa Haerensdreef",wikidata,F,Q88801975,way
"Allée Louise Van den Plas - Louise Van den Plasdreef",wikidata,F,Q3263875,relation
"Allée Maud Frère - Maud Frèredreef",wikidata,F,Q3300098,way
"Allée Rosa Luxembourg - Rosa Luxemburgdreef",wikidata,F,Q7231,relation
"Allée Suzanne Cocq - Suzanne Cocqdreef",wikidata,F,Q21645086,way
"Avenue Clémentine - Clementinalaan",wikidata,F,Q261129,way
"Avenue Éléonore - Eleonorelaan",wikidata,F,Q57527,relation
"Avenue Ernestine - Ernestinelaan",wikidata,F,Q87047440,relation
"Avenue Ginette Javaux - Ginette Javauxlaan",wikidata,F,Q3106728,way
"Avenue Impératrice Charlotte - Keizerin Charlottelaan",wikidata,F,Q154971,relation
"Avenue Jacqueline Harpman - Jacqueline Harpmanlaan",wikidata,F,Q371922,way
"Avenue Louise - Louizalaan",wikidata,F,Q237318,way
"Avenue Marguerite Yourcenar - Marguerite Yourcenarlaan",wikidata,F,Q163118,relation
"Avenue Marie de Hongrie - Maria van Hongarijelaan",wikidata,F,Q157077,relation
"Avenue Marie la Misérable - Lenneke Marelaan",wikidata,F,Q13815118,relation
"Avenue Marie-José - Marie-Josélaan",wikidata,F,Q72919,relation
"Avenue Nellie Melba - Nellie Melbalaan",wikidata,F,Q237607,relation
"Avenue Notre-Dame - Onze Lieve Vrouwlaan",wikidata,F,Q345,way
"Avenue Princesse Elisabeth - Prinses Elisabethlaan",wikidata,F,Q235186,relation
"Avenue Reine Marie-Henriette - Koningin Maria-Hendrikalaan",wikidata,F,Q234047,way
"Avenue Sainte-Alix - Sinte-Aleidislaan",wikidata,F,Q1860408,relation
"Avenue Sainte-Anne - Sint-Annalaan",wikidata,F,Q164294,way
"Avenue Simone Veil - Simone Veillaan",wikidata,F,Q298180,way
"Avenue de Castonier - de Castonierlaan",wikidata,F,Q88385819,way
"Avenue de la Princesse Paola - Prinses Paolalaan",wikidata,F,Q31129,way
"Boulevard Maria Groeninckx-De May - Maria Groeninckx-De Maylaan",wikidata,F,Q89488154,relation
"Carrefour Sainte-Anne - Sint-Annakruispunt",wikidata,F,Q164294,way
"Clos Andrée De Jongh - Andrée de Jonghgaarde",wikidata,F,Q461027,way
"Clos Andrée Dumont - Andrée Dumontgaarde",wikidata,F,Q16262799,way
"Clos Ingrid Bergman - Ingrid Bergmangaarde",wikidata,F,Q43247,relation
"Clos Marilyn Monroe - Marilyn Monroegaarde",wikidata,F,Q4616,relation
"Drève Aleyde De Brabant - Aleyde Van Brabantdreef",wikidata,F,Q377613,relation
"Drêve Anna Boch - Anna Bochdreef",wikidata,F,Q466668,way
"Drève Aurélie Solvay - Aurélie Solvaydreef",wikidata,F,Q89488177,relation
"Drève Louisa Chaudoir - Louisa Chaudoirdreef",wikidata,F,Q89488828,relation
"Drève Sainte-Anne - Sint-Annadreef",wikidata,F,Q164294,relation
"Impasse Sainte-Pétronille - Sint-Petronillagang",wikidata,F,Q463600,way
"Marie Popelinstraat - Rue Marie Popelin",wikidata,F,Q2627259,way
"Parvis Notre-Dame - Onze-Lieve-Vrouwvoorplein",wikidata,F,Q345,relation
"Parvis Sainte-Alix - Sinte-Aleidisvoorplein",wikidata,F,Q1860408,relation
"Parvis Sainte-Cécile - Sint-Ceciliavoorplein",wikidata,F,Q80513,relation
"Parvis Sainte-Gudule - Sint-Goedelevoorplein",wikidata,F,Q267660,way
"Passage Marguerite Yourcenar - Marguerite Yourcenar doorgang",wikidata,F,Q163118,way
"Passage Simone Signoret - Simone Signoretdoorgang",wikidata,F,Q106126,way
"Petite Rue Malibran - Korte Malibranstraat",wikidata,F,Q232783,relation
"Petite Rue Sainte-Anne - Kleine Sint-Annastraat",wikidata,F,Q164294,relation
"Petite rue Anna Magnani - Kleine Anna Magnanistraat",wikidata,F,Q56011,way
"Place Akarova - Akarovaplein",wikidata,F,Q2828943,relation
"Place Andrée Payfa-Fosseprez - Andrée Payfa-Fosseprezplein",wikidata,F,Q88443623,way
"Place Jo Cox - Jo Coxplein",wikidata,F,Q19872361,way
"Place Louise - Louizaplein",wikidata,F,Q237318,relation
"Place Lucienne Herman-Michielsens - Lucienne Herman-Michielsensplein",wikidata,F,Q2210215,way
"Place Marguerite d'Autriche - Margaretha van Oostenrijkplein",wikidata,F,Q157100,relation
"Place Marie Janson - Marie Jansonplein",wikidata,F,Q275821,relation
"Place Marie-José - Marie-Joséplein",wikidata,F,Q72919,relation
"Place Princesse Elisabeth - Prinses Elisabethplein",wikidata,F,Q235186,relation
"Place Reine Astrid - Koningin Astridplein",wikidata,F,Q230238,relation
"Place Reine Fabiola - Koningin Fabiolaplein",wikidata,F,Q231171,relation
