name,source,gender,wikidata,type
"Allée de la Villa Romaine - Romeinse-Villadreef",wikidata,,Q918230,relation
"Allée des Coquelicots - Klaprozendreef",wikidata,,Q146391,way
"Allée des Glycines - Blauweregendreef",wikidata,,Q261903,way
"Allée des Iris - Irisdreef",wikidata,,Q156901,way
"Allée des Jacinthes - Hyacintendreef",wikidata,,Q158758,way
"Allée des Joutes - Steekspeldreef",wikidata,,Q1413053,way
"Allée des Palais - Paleizendreef",wikidata,,Q635307,way
"Allée des Perce-neige - Sneeuwklokjesdreef",wikidata,,Q105415,way
"Allée des Pervenches - Maagdenpalmdreef",wikidata,,Q220925,way
"Allée du Fair-play - Fair Playlaan",wikidata,,Q995616,way
"Allée du Minotaure - Minotaurusweg",wikidata,,Q129866,way
"Allée du Parlement - Parlementdreef",wikidata,,Q1137059,way
Alsembergsesteenweg,wikidata,,Q661993,way
"Avenue Andromède - Andromedalaan",wikidata,,Q161582,relation
"Avenue Ariane - Arianelaan",wikidata,,Q131535,relation+way
"Avenue Artémis - Artemislaan",wikidata,,Q39503,relation
"Avenue Brigade Piron - Brigade Pironlaan",wikidata,,Q2036237,relation
"Avenue Cassiopée - Cassiopealaan",wikidata,,Q207681,relation
"Avenue De Roovere - De Rooverelaan",wikidata,,Q22998598,relation
"Avenue Jupiter - Jupiterlaan",wikidata,,Q4649,way
"Avenue Minerve - Minervalaan",wikidata,,Q126916,relation
"Avenue Montgolfier - Montgolfierlaan",wikidata,,Q193751,relation
"Avenue Neptune - Neptunuslaan",wikidata,,Q3954,relation
"Avenue Notre-Dame de Fatima - Onze Lieve-Vrouw van Fatimalaan",wikidata,,Q719524,relation
"Avenue Notre-Dame de Lourdes - Onze-Lieve-Vrouw Van Lourdeslaan",wikidata,,Q21532387,relation
"Avenue Orion - Orionlaan",wikidata,,Q201261,relation
"Avenue Pénélope - Penelopelaan",wikidata,,Q165769,relation
"Avenue Reinaert de Vos - Reinaert de Voslaan",wikidata,,Q25400539,way
"Avenue Télémaque - Telemachuslaan",wikidata,,Q192482,relation
"Avenue Ulysse - Ulysseslaan",wikidata,,Q47231,relation
"Avenue Van Volxem - Van Volxemlaan",wikidata,,Q3065560,relation
"Avenue Victoria Regina - Victoria Reginalaan",wikidata,,Q162070,way
"Avenue de Biolley - de Biolleylaan",wikidata,,Q56787881,relation
"Avenue de Cérès - Cereslaan",wikidata,,Q32102,way
"Avenue de Cortenbergh - Kortenberglaan",wikidata,,Q2181368,relation
"Avenue de Croydon - Croydonlaan",wikidata,,Q2213391,relation
"Avenue de Diane - Dianalaan",wikidata,,Q132543,relation
"Avenue de Flore - Floralaan",wikidata,,Q209644,relation
"Avenue de Messidor - Messidorlaan",wikidata,,Q837281,way
"Avenue de Rusatira - Rusatiralaan",wikidata,,Q21127146,relation
"Avenue de Saint-Job - Sint-Jobselaan",wikidata,,Q1927235,way
"Avenue de Saïo - Saïolaan",wikidata,,Q19947679,relation
"Avenue de Stalingrad - Stalingradlaan",wikidata,,Q914,relation
"Avenue de Tervueren - Tervurenlaan",wikidata,,Q456544,relation+way
"Avenue de Visé - Visélaan",wikidata,,Q49743,way
"Avenue de Woluwé Saint-Lambert - Sint-Lambrechts Woluwelaan",wikidata,,Q211764,relation+way
"Avenue de l'Hélianthe - Zonnebloemlaan",wikidata,,Q26949,relation
"Avenue de l'Hippodrome - Renbaanlaan",wikidata,,Q2419360,relation+way
"Avenue de l'Yser - IJzerlaan",wikidata,,Q217061,relation+way
"Avenue de la Brabançonne - Brabançonnelaan",wikidata,,Q161539,relation+way
"Avenue de la Floride - Floridalaan",wikidata,,Q812,way
"Avenue de la Gueuze - Gueuzelaan",wikidata,,Q1520229,way
"Avenue de la Porte de Hal - Hallepoortlaan",wikidata,,Q2988142,relation
"Avenue des Abeilles - Bijenlaan",wikidata,,Q7391,relation
"Avenue des Celtes - Keltenlaan",wikidata,,Q35966,relation+way
"Avenue des Chanterelles - Hanenkammenlaan",wikidata,,Q3942018,way
"Avenue des Gaulois - Galliërslaan",wikidata,,Q273854,relation+way
"Avenue des Hortensias - Hortensiaslaan",wikidata,,Q155997,way
"Avenue des Jonquilles - Narcissenlaan",wikidata,,Q29465,relation
"Avenue des Lilas - Seringenlaan",wikidata,,Q157449,way
"Avenue des Nerviens - Nerviërslaan",wikidata,,Q756812,relation+way
"Avenue des Sylphes - Silfenlaan",wikidata,,Q853329,relation
"Avenue des Vestales - Vestalenlaan",wikidata,,Q188761,relation
"Avenue du Brésil - Braziliëlaan",wikidata,,Q155,relation
"Avenue du Chili - Chililaan",wikidata,,Q298,relation
"Avenue du Daring - Daringlaan",wikidata,,Q2312558,relation
"Avenue du Haras - Stoeterijlaan",wikidata,,Q108696,relation
"Avenue du Maelbeek - Maalbeeklaan",wikidata,,Q506931,relation+way
"Avenue du Manoir d'Anjou - Manoir d'Anjoulaan",wikidata,,Q60853950,relation
"Avenue du Mont Kemmel - Kemmelberglaan",wikidata,,Q209541,relation+way
"Avenue du Paddock - Paddocklaan",wikidata,,Q351810,relation
"Avenue du Prince de Ligne - Prins de Lignelaan",wikidata,,Q3922015,relation+way
"Avenue du Venezuela - Venezuelalaan",wikidata,,Q717,relation
"Boulevard Saint-Michel - Sint-Michielslaan",wikidata,,Q45581,relation+way
"Boulevard d'Anvers - Antwerpselaan",wikidata,,Q12892,relation
"Boulevard d'Ypres - Ieperlaan",wikidata,,Q102728,relation
"Boulevard de Berlaimont - de Berlaimontlaan",wikidata,,Q14849959,way
"Boulevard de Dixmude - Diksmuidelaan",wikidata,,Q215244,relation
"Boulevard de Nieuport - Nieuwpoortlaan",wikidata,,Q623310,relation
"Ceci n'est pas une rue",wikidata,,Q1061035,way
"Chaussée Romaine - Romeinsesteenweg",wikidata,,Q194029,relation+way
"Chaussée d'Alsemberg - Alsembergse Steenweg",wikidata,,Q661993,way
"Chaussée d'Alsemberg - Alsembergsesteenweg",wikidata,,Q661993,way
"Chaussée d'Anvers - Antwerpsesteenweg",wikidata,,Q12892,relation+way
"Chaussée de Boondael - Boondaalse Steenweg",wikidata,,Q1887018,relation
"Chaussée de Charleroi - Charleroise Steenweg",wikidata,,Q81046,relation+way
"Chaussée de Jette - Jetse Steenweg",wikidata,,Q241918,relation+way
"Chaussée de Jette - Jetsesteenweg",wikidata,,Q241918,relation
"Chaussée de Louvain - Leuvense Steenweg",wikidata,,Q118958,way
"Chaussée de Louvain - Leuvense Steenweg / Chaussée de Louvain - Leuvensesteenweg",wikidata,,Q118958,way
"Chaussée de Louvain - Leuvensesteenweg",wikidata,,Q118958,relation+way
"Chaussée de Louvain - Steenweg op Leuven",wikidata,,Q118958,relation
"Chaussée de Mons - Bergense Steenweg",wikidata,,Q83407,relation+way
"Chaussée de Ninove - Ninoofsesteenweg",wikidata,,Q385026,relation+way
"Chaussée de Ruisbroek - Ruisbroekse Steenweg",wikidata,,Q1993738,relation
"Chaussée de Saint-Job - Sint-Jobsesteenweg",wikidata,,Q1927235,way
"Chaussée de Tervueren - Tervurensteenweg",wikidata,,Q456544,way
"Chaussée de Tervueren - Tervuursesteenweg",wikidata,,Q456544,way
"Chaussée de Waterloo - Waterloose Steenweg",wikidata,,Q31579578,relation
"Chaussée de Waterloo - Waterloosesteenweg",wikidata,,Q31579578,relation+way
"Chemin Herlinde et Théobald - Herlinde en Theobaldweg",wikidata,,Q110062882;Q110062886,way
"Chemin des Fermiers - Pachtersweg",wikidata,,Q54639972,way
"Chemin du Bonheur - Geluksweg",wikidata,,Q8,way
"Chemin du Jutland - Jutlandweg",wikidata,,Q25389,relation
"Clos Cassiopée - Cassiopeagaarde",wikidata,,Q207681,relation
"Clos Mudra - Mudrahoek",wikidata,,Q3577684,relation
"Clos Prométhée - Prometheusgaarde",wikidata,,Q83160,relation
"Clos Sirius - Siriusgaarde",wikidata,,Q3409,relation+way
